yyyymm	yyyymm2	av	hi
1925/5/21	1925/5/31	17.8	26.9
1925/6/1	1925/6/10	19.5	25.4
1925/6/11	1925/6/20	20.2	30.3
1925/6/21	1925/6/30	23.1	30.4
1925/7/1	1925/7/10	22.6	31
1925/7/11	1925/7/20	23.4	32.5
1925/7/21	1925/7/31	25.8	32.7
1925/8/1	1925/8/10	24.5	32.4
1925/8/11	1925/8/20	25.4	32.2
1925/8/21	1925/8/31	26.3	34.4
1925/9/1	1925/9/10	25	30.9
1925/9/11	1925/9/20	23.1	30.5
1925/9/21	1925/9/30	19.3	27.2
1925/10/1	1925/10/10	19.5	27.5
1925/10/11	1925/10/20	16	25.2
1925/10/21	1925/10/31	13.6	23.5
1925/11/1	1925/11/10	12.5	22
1925/11/11	1925/11/20	11.8	20
1925/11/21	1925/11/30	9.3	18.7
1925/12/1	1925/12/10	7.7	15.5
1925/12/11	1925/12/20	5.3	14.4
1925/12/21	1925/12/31	4.8	16.8
1926/1/1	1926/1/10	1.4	12.5
1926/1/11	1926/1/20	4.4	13.3
1926/1/21	1926/1/31	0.4	9.7
1926/2/1	1926/2/10	4.2	15.1
1926/2/11	1926/2/20	3.1	13.2
1926/2/21	1926/2/28	4.1	12.7
1926/3/1	1926/3/10	5.9	14.8
1926/3/11	1926/3/20	5.1	16.1
1926/3/21	1926/3/31	5.7	19.8
1926/4/1	1926/4/10	11.8	25.3
1926/4/11	1926/4/20	10.1	20.5
1926/4/21	1926/4/30	11	21.5
1926/5/1	1926/5/10	16.6	26.2
1926/5/11	1926/5/20	15.6	25.3
1926/5/21	1926/5/31	18.7	26.4
1926/6/1	1926/6/10	19.5	32.1
1926/6/11	1926/6/20	19.7	30.9
1926/6/21	1926/6/30	21.7	29.9
1926/7/1	1926/7/10	22.2	30
1926/7/11	1926/7/20	25.5	34
1926/7/21	1926/7/31	26.2	33.2
1926/8/1	1926/8/10	27.5	35.2
1926/8/11	1926/8/20	27.7	37.5
1926/8/21	1926/8/31	26.3	34.2
1926/9/1	1926/9/10	25.5	33.4
1926/9/11	1926/9/20	23.9	33.1
1926/9/21	1926/9/30	20.7	29
1926/10/1	1926/10/10	17.4	25.4
1926/10/11	1926/10/20	14.6	23.6
1926/10/21	1926/10/31	12.5	22.5
1926/11/1	1926/11/10	10	20.3
1926/11/11	1926/11/20	10.3	22
1926/11/21	1926/11/30	8	16.4
1926/12/1	1926/12/10	5.8	16.7
1926/12/11	1926/12/20	3.7	10.3
1926/12/21	1926/12/31	1.4	12.4
1927/1/1	1927/1/10	5.3	14.9
1927/1/11	1927/1/20	3.8	11
1927/1/21	1927/1/31	-1.5	7
1927/2/1	1927/2/10	0.9	7.7
1927/2/11	1927/2/20	2.5	12.8
1927/2/21	1927/2/28	2.3	10.8
1927/3/1	1927/3/10	4	14.5
1927/3/11	1927/3/20	4.9	15.5
1927/3/21	1927/3/31	9.2	22.3
1927/4/1	1927/4/10	11.9	23.7
1927/4/11	1927/4/20	12.2	23.4
1927/4/21	1927/4/30	15.4	25.2
1927/5/1	1927/5/10	15.3	24.5
1927/5/11	1927/5/20	15.6	24.9
1927/5/21	1927/5/31	18.1	28.1
1927/6/1	1927/6/10	19.2	29.3
1927/6/11	1927/6/20	21.3	31.2
1927/6/21	1927/6/30	22.1	30.9
1927/7/1	1927/7/10	25	33.7
1927/7/11	1927/7/20	27.5	34.8
1927/7/21	1927/7/31	27.7	36.3
1927/8/1	1927/8/10	26.2	33.5
1927/8/11	1927/8/20	25.8	32.8
1927/8/21	1927/8/31	26.1	33.3
1927/9/1	1927/9/10	22.9	31.2
1927/9/11	1927/9/20	22.8	31.8
1927/9/21	1927/9/30	18.1	25.6
1927/10/1	1927/10/10	18.9	26.2
1927/10/11	1927/10/20	13.7	25.1
1927/10/21	1927/10/31	15.5	24.6
1927/11/1	1927/11/10	12	21.8
